
"10-05-2022 14:58:04","onbekende User","Onbekende reset-key of reset niet meer geldig"
"10-05-2022 15:02:20","onbekende User","Onbekende reset-key of reset niet meer geldig"
"10-05-2022 15:03:56",,"Logon niet gekend"
"10-05-2022 15:19:54","onbekende User","Onbekende reset-key of reset niet meer geldig"
"10-05-2022 15:25:48",,"Logon niet gekend"
"10-05-2022 15:26:07",micky@test.be,"Persistent ingelogd"
"10-05-2022 15:29:25",micky.depauw@test.be,"Logon niet gekend"
"10-05-2022 15:30:04",micky@test.be,"Persistent ingelogd"
"10-05-2022 15:30:47",micky@test.be,"Persistent aangelogd"
"10-05-2022 15:32:58",micky@test.be,"Persistent aangelogd"
"10-05-2022 15:35:21",micky@test.be," Persistent uitgelogd"
"10-05-2022 15:35:29",micky@test.be,Ingelogd
"10-05-2022 15:35:35",micky@test.be," Uitgelogd"
"10-05-2022 15:35:41",micky@test.be,"Persistent ingelogd"
"10-05-2022 15:46:46",micky@test.be,"Persistent aangelogd"
"10-05-2022 16:02:19",micky@test.be,"Persistent ingelogd"
